Datetime,BTC_in_BRL
2024-09-27 17:44:39.862522,357581.01384134963
2024-09-27 17:56:50.177067,358019.78034672886
2024-09-27 18:31:32.494318,356691.7689502984
2024-09-27 18:47:31.899750,356885.62110361457
2024-09-27 18:59:27.784206,357828.2534284517
2024-09-27 19:20:02.667052,357949.31644392014
2024-09-27 19:32:58.448981,357702.6894274652
2024-09-27 19:44:50.948588,357331.3670261763
2024-09-27 19:57:08.633687,357153.2156871483
2024-09-27 20:25:11.523390,357132.7813965082
2024-09-29 12:58:22.022611,356972.6939023137
2024-09-29 13:25:51.235225,357466.0319410488
2024-09-29 13:38:41.502752,357506.3399736583
2024-09-29 13:50:51.502193,357842.8207263797
2024-09-29 14:09:35.412440,357477.7548251376
2024-09-29 14:29:34.673085,357414.3408180922
2024-09-29 14:41:43.501700,357202.9041623175
2024-09-29 14:53:56.621217,357052.7153284848
2024-09-29 15:17:25.005052,357262.4954897687
2024-09-29 15:32:37.602192,356920.36566609144
2024-09-29 15:44:31.121008,357472.5729705766
2024-09-29 15:56:49.067562,357640.30365632474
2024-09-29 16:27:42.689712,357341.7099058032
2024-09-29 16:45:05.311250,357135.03036241233
2024-09-29 16:56:57.371177,357640.4310789779
2024-09-29 17:18:53.164448,358428.20039489865
2024-09-29 17:32:19.821172,358136.9122098237
2024-09-29 17:44:23.996004,358355.6969052628
2024-09-29 17:56:50.581529,357945.43843637407
2024-09-29 18:29:11.375125,357685.0290075764
2024-09-29 18:37:18.639249,357719.47559814155
2024-09-29 18:44:20.929510,357976.9118316993
2024-10-11 22:07:20.973294,350735.44186451286
2024-10-26 01:05:59.440818,377634.67953902856
2024-11-02 01:06:34.094466,403115.838552922
2024-11-09 01:04:30.245448,438690.77017783374
2024-11-10 20:20:53.238926,451808.0441792309
2024-11-16 01:09:53.235780,528467.0451982878
2024-11-22 22:50:10.137128,573738.8472487032
2024-11-23 03:50:33.335746,574415.6168208122
2024-11-29 21:14:11.785797,582464.0599424541
2024-12-06 21:14:46.618990,617106.8742178045
2024-12-13 21:14:17.338606,613990.5450939909
2024-12-20 21:13:24.744918,582410.5596570671
2024-12-27 21:13:08.102726,585219.1337615624
2025-01-03 21:13:11.138668,607315.2132638097
2025-01-10 21:13:41.109466,578729.7919405997
2025-01-17 21:13:00.996811,635664.8775179908
2025-01-24 21:12:53.552105,621582.1120159104
2025-01-31 21:13:18.207912,593601.7950837985
2025-02-07 21:13:10.872782,556488.0935647935
2025-02-14 21:13:27.297635,551798.9229816757
2025-02-25 02:11:02.197862,532191.4153505452
2025-02-25 02:12:58.782354,531809.1314546205
2025-02-28 21:13:52.935273,496609.0404488705
2025-03-07 21:12:42.858608,500010.5735168606
2025-03-14 21:14:59.900348,482589.2266367749
2025-03-21 21:13:57.301894,482926.452384308
2025-03-28 21:14:29.492827,483360.479751844
2025-04-04 21:14:25.049477,492076.2536962703
2025-04-11 21:14:58.355001,492109.54361116514
2025-04-18 21:14:42.339200,490656.3252335005
2025-04-25 21:15:12.471297,540657.1830570921
2025-05-02 21:15:24.467449,549086.1821442097
2025-05-20 02:57:09.292284,598984.7293205746
2025-05-23 21:13:36.536269,610978.3419180512
2025-05-30 21:14:55.579217,600372.8663597256
2025-06-06 21:15:42.970921,583168.448936604
2025-06-13 21:16:24.230449,584730.8323377296
2025-06-20 21:15:31.064371,570793.5505858473
